day,month,year,opening_value,close_value,min_value,max_value,volume
15,7,2008,11327.600,11151.600,10932.400,11345.800,3660011
14,7,2008,11448.800,11443.000,11443.000,11602.300,2624631
11,7,2008,11837.800,11383.500,11380.900,11844.600,2928893
10,7,2008,11797.900,11739.500,11699.500,11892.400,2958349
9,7,2008,11923.700,11999.800,11855.000,11999.800,3452122
8,7,2008,11732.600,11794.700,11682.600,11943.300,3458106
7,7,2008,11869.300,11982.200,11815.500,12005.800,2977424
4,7,2008,12009.800,11765.900,11695.800,12021.800,2660640
3,7,2008,11712.500,11980.100,11629.700,12032.700,4085198
2,7,2008,11777.900,11856.900,11682.100,11957.200,3766602
1,7,2008,12028.500,11770.900,11642.300,12035.200,3600922
30,6,2008,12092.500,12046.200,11874.500,12135.900,3487088
27,6,2008,12031.900,12089.800,11885.100,12145.300,3345333
26,6,2008,12374.700,12077.700,12076.500,12375.200,3315381
25,6,2008,12260.500,12446.100,12259.400,12446.100,3464821
24,6,2008,12405.000,12205.600,12132.000,12460.900,3389335
23,6,2008,12370.300,12403.400,12327.100,12493.500,3058845
20,6,2008,12630.100,12412.500,12307.500,12639.800,5518813
19,6,2008,12551.800,12585.000,12549.500,12728.500,3844337
18,6,2008,12848.800,12631.500,12538.000,12852.200,3246230
17,6,2008,12880.900,12885.100,12839.700,12992.200,2839246
16,6,2008,12996.900,12826.600,12728.100,13049.700,3260926
13,6,2008,12848.000,12998.700,12726.900,13022.700,3394120
12,6,2008,12608.900,12853.300,12598.400,12853.300,3908054
11,6,2008,12789.500,12584.300,12562.300,12913.500,4044945
10,6,2008,12679.200,12755.200,12622.200,12841.900,3557785
9,6,2008,12815.900,12823.900,12690.700,12889.400,3419035
6,6,2008,13332.200,12909.800,12902.400,13379.000,3630126
5,6,2008,13378.900,13239.300,13187.400,13415.700,2849844
4,6,2008,13343.700,13341.200,13173.700,13383.600,3314626
3,6,2008,13264.900,13431.700,13216.900,13451.500,3164735
2,6,2008,13610.500,13300.000,13286.400,13612.100,3457065
